internal.gene.id,Fe_An_SF,Ma_An,FM,display.name,vectorbase.RU,complete?
gene13573,0.025137136,0,Inf,AaegOr89,AAEL017125,
gene15721,0.140849697,0,Inf,AaegOr68,AAEL018076,
gene15948,0.01524087,0,Inf,AaegOr120,AAEL018087,
gene8977,0.013607149,0,Inf,AaegOr9,AAEL006005,
gene9065,7.836862042,0,Inf,AaegOr5,AAEL011843,yes
gene9969,0.005138963,0,Inf,AaegOr61,AAEL017277,
gene15782,4.31545804,0.025288194,170.6510946,AaegOr131,RU261,no
gene7645,2.447029748,0.054468316,44.92574628,AaegOr92,AAEL017065,yes
gene2976,46.59375437,1.310307279,35.55941046,AaegOr105,AAEL017014,yes
gene13247,64.44149447,2.765277155,23.30381038,AaegOr88,AAEL014197,yes
gene11069,5.450868073,0.265618743,20.52139847,AaegOr107,AAEL017316,yes
gene6059,42.35926808,2.246259073,18.85769482,AaegOr94,AAEL017201,yes
gene15841,33.64912731,1.926033938,17.47068244,AaegOr108,AAEL018070,yes
gene15637,16.50281006,1.0814013,15.26057908,AaegOr97,AAEL017000,no
gene8278,39.65736482,2.859208915,13.87004797,AaegOr103,AAEL017505,yes
gene13692,57.02293341,4.264428866,13.3717633,AaegOr113,AAEL017123,yes
gene12615,53.07216345,3.997288443,13.27704123,AaegOr87,AAEL017347,yes
gene2979,32.52432056,2.455016467,13.24810688,AaegOr104,AAEL016966,yes
gene15290,8.626193402,0.676232294,12.75625769,AaegOr62,AAEL011796,yes
gene16002,44.68169363,3.632920202,12.29911232,AaegOr112,AAEL018095,yes
gene14669,78.66489188,6.74494853,11.66278609,AaegOr100,AAEL011409,yes
gene5735,2.985900362,0.264698385,11.28038755,AaegOr123,AAEL017537,yes
gene5532,160.8118633,15.40265549,10.44052848,AaegOr84,AAEL017043,yes
gene15190,1.031519984,0.099487613,10.36832577,AaegOr130,AAEL017285,yes
gene3258,5.116105945,0.494139466,10.35356676,AaegOr56,AAEL017534,yes
gene16001,22.5992822,2.279097033,9.915892951,AaegOr111,AAEL017178,
gene3745,73.44668982,7.869172,9.333471149,AaegOr59,AAEL001342,
