"","Row.names","vectorbase.RU","display.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","gene10","AAEL009960","",316.777463943458,1.26403048941015,0.385726713219437,3.27701050015442,0.00104912467809291,0.00380317584828786
"2","gene100","AAEL008895","",24.2012743192346,-2.5842913002959,1.29070577631418,-2.00223114184534,0.0452598778210171,0.0972237162405411
"3","gene1000","AAEL006735","",1264.60040985797,0.509131524209486,0.190023695140329,2.67930546152942,0.00737750583375123,0.0210304717396504
"4","gene10002","AAEL009669","",368.420988094483,5.25338936158681,0.512688343122252,10.2467501593539,1.22389509431041e-24,5.41963990872231e-23
"5","gene10004","AAEL009670","",172.2692976543,2.86108409285381,0.989809555467678,2.8905399801904,0.00384580610103509,0.0119291133747135
"6","gene10008","AAEL009717","",1.56075126354123,-2.84960411299712,1.38072083513207,-2.06385247509106,0.0390317059290239,0.0863558410050147
"7","gene1001","AAEL006751","",2916.07021061507,0.466690000128466,0.191785213690849,2.43339927592517,0.0149577964233018,0.038458855276522
"8","gene10010","AAEL009726","",564.322711652952,1.51081580951693,0.338276294584162,4.4662183951558,7.9614338435603e-06,4.71088331671096e-05
"9","gene10017","AAEL009722","",831.668493419731,1.87461698917826,0.461016826269033,4.06626587656108,4.77724313470641e-05,0.000239230870131624
"10","gene10018","AAEL009728","",546.588558706247,0.790931571073983,0.216922325101787,3.64615108519998,0.000266197502808246,0.00112854128818393
"11","gene10019","AAEL009720","",1474.48018629017,0.493796828767073,0.209225137690243,2.36012189652916,0.0182689309923396,0.0455061354028849
"12","gene1002","AAEL006723","",2631.73436203822,-0.645443939847283,0.2104006539146,-3.06768979962041,0.00215720419899402,0.0071760941287534
"13","gene10023","AAEL002105","",324.130610222374,-1.16834362969927,0.469559345783896,-2.48817032434697,0.0128402222135375,0.0337053009837502
"14","gene10025","AAEL002093","",1263.0362730481,-0.690257293319616,0.320077163604686,-2.1565340230649,0.0310419900482691,0.0711800272726367
"15","gene10026","AAEL002114","",4014.23274446637,0.281308893676246,0.116712317467615,2.41027596555354,0.0159404580130255,0.0405453306508231
"16","gene10027","AAEL002100","",2215.70641562721,-1.41820731814264,0.205126099743624,-6.9138316377837,4.71735009464583e-12,6.94250645585795e-11
"17","gene10029","AAEL002106","",343.204454489446,-0.657463914690969,0.298642453806869,-2.20150854746241,0.0277000422633117,0.0646999108930036
"18","gene10030","AAEL002091","",8153.89517141185,-0.737753602208272,0.13019790125263,-5.66640164787886,1.45827471647155e-08,1.35587748248629e-07
"19","gene10031","AAEL002119","",7313.59956627218,-0.776986095869727,0.284557115783592,-2.7305101604299,0.00632363838226878,0.0183845033272155
"20","gene10034","AAEL002115","",2408.92540907234,0.415851650520176,0.135432805379668,3.07053855492685,0.00213673097223041,0.00711433206126605
"21","gene10036","AAEL002104","",1445.46906237956,-0.564826236581938,0.277094979093863,-2.03838495532829,0.0415114496759113,0.090832164738068
"22","gene10038","AAEL002098","",1794.06023291458,-0.545971736621052,0.145429917991073,-3.75419132571171,0.000173901998997735,0.00077236295566762
"23","gene1004","AAEL006721","",170206.700681341,-1.24072794258143,0.160112586240575,-7.74909688059875,9.25483915122039e-15,1.84146619538216e-13
"24","gene10040","AAEL002102","",4329.49635583494,-2.83299041548666,0.170279378279377,-16.6373077240075,3.74062227064783e-62,1.01493283899777e-59
"25","gene10041","AAEL002095","",227.739224461735,0.746861791240804,0.279277713512197,2.67426205209241,0.00748939034044062,0.0212803069402885
"26","gene10043","AAEL002108","",798.863616029527,1.42443447644365,0.283002936302224,5.03328514910697,4.82145126465759e-07,3.53391538420851e-06
"27","gene10044","AAEL018091","",75.5489709119901,-5.2729543834126,0.745846028036628,-7.06976263893658,1.55198932334022e-12,2.40751940459523e-11
"28","gene10048","AAEL002121","",2299.24365948772,-1.41750209474825,0.393843421624984,-3.59915138076874,0.000319257311688291,0.00133043196378787
"29","gene10049","AAEL002118","",14737.5673776248,-0.769219694646777,0.350407444211659,-2.19521504851974,0.0281481752981225,0.0656028767724321
"30","gene10051","AAEL002125","",3245.55435631293,0.459396733240076,0.228134172739464,2.01371292920996,0.0440396817906862,0.0951917977060271
"31","gene10053","AAEL002116","",1392.3053810663,-1.47998789829095,0.312270119458665,-4.73944769629761,2.14301542097865e-06,1.41068456670774e-05
"32","gene10057","AAEL002130","",12577.002876462,-1.22215316683259,0.37761414469978,-3.23651320795796,0.00120999626749121,0.00430709877615836
"33","gene10058","AAEL002123","",4532.77591343411,-1.59453204302365,0.166424729826905,-9.58110038503342,9.60164335875257e-22,3.38735990171784e-20
"34","gene10059","AAEL002097","",2321.45373605239,-0.715219214767577,0.124773609070924,-5.73213534571267,9.91740836155754e-09,9.42059102352152e-08
"35","gene10060","AAEL002122","",3872.59816573707,0.538543967126093,0.253905508580516,2.12104089484658,0.033918361126016,0.0766914701641723
"36","gene10063","AAEL002101","",6099.28858402582,0.257827191039863,0.0958036527140824,2.69120418413822,0.00711946060319431,0.02038053147544
"37","gene10064","AAEL002089","",3303.0796509952,-0.482598782707151,0.187202304223382,-2.5779532186275,0.00993874522402357,0.02706494433907
"38","gene10067","AAEL002131","",3161.05249818256,0.717077829626547,0.321313232085573,2.23170961548067,0.0256341613281797,0.0606145760577445
"39","gene10068","AAEL002090","",3337.23989703355,0.94395289694748,0.308392978359884,3.06087674877578,0.00220689919157576,0.0073234504416022
"40","gene1007","AAEL006725","",4993.14467088533,0.632613957151412,0.127798309114391,4.95009645695049,7.41767093903007e-07,5.23870816011101e-06
"41","gene10070","AAEL014762","",12973.8481067001,-1.01074011174337,0.196527760585083,-5.14298900437422,2.70401454414421e-07,2.07145836972608e-06
"42","gene10075","AAEL018268","",6821.29899601238,-2.86172042922856,0.151541708516268,-18.8840449091371,1.54303728019852e-79,6.97780161587957e-77
"43","gene10077","AAEL006360","AaegIr76b",4077.45499503,2.50372585601663,0.640879004317223,3.90670600714098,9.35628770387838e-05,0.000437829668877319
"44","gene10078","AAEL006339","",444.266644728926,2.0674392480155,0.23798075013289,8.68742218377336,3.70756211493057e-18,9.57230959188736e-17
"45","gene10079","AAEL006357","",67.6430912949186,-7.11643536976696,0.777774478591057,-9.1497414297502,5.70699821606657e-20,1.72749562633593e-18
"46","gene10080","AAEL006347","",1227.42449840942,-10.7636060059793,1.02258307554451,-10.5258988373613,6.5632016389681e-26,3.27567418255254e-24
"47","gene10081","AAEL006328","",65.8079695127499,1.45165399157537,0.550470673846459,2.63711412895407,0.00836146945276245,0.0233830018217798
"48","gene10082","AAEL006330","",23042.3917518616,-1.11874345382968,0.160336255585715,-6.97748272680349,3.00515752324297e-12,4.51166657136367e-11
"49","gene10087","AAEL006356","",1074.23058484962,0.951635126812712,0.129909088588207,7.32539298947172,2.38199637128879e-13,4.03021903046969e-12
"50","gene10088","AAEL006342","",3067.78050237194,1.54287917042037,0.160662782396373,9.60321455540283,7.74892254708392e-22,2.77973969158974e-20
"51","gene10089","AAEL006341","",4193.70553908367,1.90789634729101,0.318645316937836,5.98752357519575,2.13060068413193e-09,2.26137652982224e-08
"52","gene10092","AAEL006336","",4.50960214226799,2.7464576271731,1.25324647837296,2.19147444223319,0.0284174772557169,0.066127243581329
"53","gene10093","AAEL006343","",7954.6823521098,-0.615106196237064,0.1035770175576,-5.93863591307793,2.87403333571676e-09,2.97016616820645e-08
"54","gene10096","AAEL006326","",19.9350082268348,-3.76020903457289,0.965572375481547,-3.89427983862692,9.84908979239545e-05,0.000459880998034785
"55","gene10097","AAEL006344","",277.535478399487,1.70081375681561,0.844026275086357,2.01511944239128,0.0438921355512723,0.0949094170752473
"56","gene10098","AAEL006334","",83.2274716117471,3.00263334387525,0.540962094740052,5.55054295498857,2.84783724213585e-08,2.52215282874737e-07
"57","gene10099","AAEL006329","",99.5058117280946,1.97404347387864,0.671031186051568,2.94180585777862,0.00326304428114096,0.0103187984334534
"58","gene10103","AAEL006353","",185.188902822712,-2.29795606456505,0.691789470115645,-3.32175634905358,0.000894527695129822,0.00330812993587598
"59","gene10107","AAEL006338","",211.635518929934,-1.63626933903384,0.544887974074664,-3.00294632454052,0.00267379585036381,0.00867225722125171
"60","gene10108","AAEL006348","",174.224917030744,-3.14939289092131,0.546403442374429,-5.76385990036123,8.22116672848859e-09,7.91002392580498e-08
"61","gene10109","AAEL006327","",44.048603104448,1.92543390111407,0.90032111117111,2.13860796689475,0.0324674317419263,0.0739487358395201
"62","gene10111","AAEL006345","AaegOr39",135.818444339637,3.37767679733438,1.45368658112802,2.32352478256586,0.0201509779011528,0.0494593821083723
"63","gene10112","AAEL006815","",2813.55050899616,0.420514834807546,0.208561445212923,2.01626352549599,0.0437724268205271,0.0947238871001633
"64","gene10113","AAEL006791","",13468.7359010405,-0.826089259036765,0.132565756288618,-6.23154336507708,4.61862101325834e-10,5.30999086139092e-09
"65","gene10115","AAEL017984","",60.478438177717,2.42815694392974,0.834349106070434,2.91024096060427,0.00361150202227465,0.0112726301356211
"66","gene10118","AAEL006812","",964.622727362407,-0.816968930343767,0.291114244610769,-2.80635161441889,0.00501059839079189,0.0150688769118655
"67","gene10119","AAEL006805","",3932.09846584129,0.812057171246441,0.27534124786073,2.94927540844584,0.00318519989327732,0.0101090467901696
"68","gene1012","AAEL006744","",5984.84026456705,0.508327669177122,0.112971337872119,4.49961626330866,6.80762394261633e-06,4.08320627394146e-05
"69","gene10120","AAEL006782","",1854.64381561147,0.729127752441841,0.141277774475845,5.16095157321794,2.45697737197482e-07,1.89387775423452e-06
"70","gene10121","AAEL006798","",979.797337392548,0.4496270337242,0.220127161345522,2.04257862126539,0.0410941692178237,0.0900379220727621
"71","gene10122","AAEL018123","",8288.03682069375,-1.23224075435025,0.144728948947753,-8.51412770775451,1.67848957902907e-17,4.12654036043671e-16
"72","gene10123","AAEL006783","",11531.9049053665,0.474999564047634,0.19444255020233,2.44287869889263,0.0145706337209387,0.0376221502053556
"73","gene10125","AAEL006794","",8166.75470575789,-0.828616925507932,0.214348960038098,-3.86573802532402,0.000110753772891303,0.000512171847801958
"74","gene1013","AAEL006748","",1628.48756684483,0.535745622481384,0.136834502266482,3.91528169874898,9.02987155320366e-05,0.000424151001537483
"75","gene10130","AAEL006800","",4626.93518172756,1.85476679335329,0.310655313029942,5.97049757579558,2.36531098131753e-09,2.49100464179262e-08
"76","gene10131","AAEL006792","",6798.61478619974,-0.382999076519224,0.130298643027534,-2.93939420718518,0.00328854515984634,0.0103950348274491
"77","gene10133","AAEL006786","",7851.53664332628,-0.929721590241183,0.198884545308356,-4.67467991944632,2.94412432460346e-06,1.89049773218836e-05
"78","gene10134","AAEL006802","",1218.08599989987,1.02973615809222,0.258735567288659,3.9798786416689,6.89504579158129e-05,0.000331490877409045
"79","gene10135","AAEL006785","",74163.1249053088,2.26410769463949,0.295816550849167,7.65375597862992,1.951925147893e-14,3.72488222276308e-13
"80","gene10141","AAEL006797","",96.0585552603893,2.5714506354953,0.35738952561112,7.19509233265365,6.24185112506097e-13,1.01027271517663e-11
"81","gene10142","AAEL006788","",560.954480475141,0.874232761481166,0.184321152857775,4.74298661833859,2.10590185658232e-06,1.38931801086552e-05
"82","gene10145","AAEL007594","",1406.72931994048,0.903864184867136,0.219470690245054,4.11838220337263,3.81541517359884e-05,0.000195392726958186
"83","gene10146","AAEL007590","",2.70511658051399,4.63787306960144,1.43294887264136,3.23659354367085,0.00120965572520139,0.00430709877615836
"84","gene10150","AAEL007597","",11859.9889228912,1.52093836887123,0.440682344050578,3.45132585728615,0.000557839616117114,0.00218494503709073
"85","gene10151","AAEL007596","",296.069100156047,1.93989943023869,0.662639045633217,2.92753565160792,0.00341659887662824,0.0107429214150702
"86","gene10153","AAEL007589","",9994.04969189804,0.54408132161365,0.252957438256143,2.15088089666182,0.0314856017338193,0.0719981052212359
"87","gene10154","AAEL007595","",3184.62289630302,0.371083155561431,0.131140151716516,2.82966849362503,0.00465962572252659,0.0141246383622312
"88","gene10163","AAEL009164","",209.590410206478,0.979728095804844,0.249942904892422,3.91980759056365,8.86196913278584e-05,0.000417183486967076
"89","gene10165","AAEL009163","",71.8210463651361,1.09732261829438,0.339161976944689,3.23539397953602,0.00121474988604666,0.00432023654658586
"90","gene10167","AAEL014996","",237.175175112668,1.10857473492536,0.42494148279923,2.60877033614796,0.00908682055015283,0.0251022997167587
"91","gene10171","AAEL004528","",536.523606631892,-1.54213576543873,0.432676018828137,-3.56418127728794,0.000364993652523224,0.00149884432487729
"92","gene10172","AAEL004525","",75.6659405791136,2.15442051419929,0.971844709244165,2.21683618144595,0.0266342880752512,0.0625828186028932
"93","gene10173","AAEL004540","",2646.00256461312,1.04212800502612,0.285505367976347,3.65011702726532,0.000262120857714824,0.00111283913504362
"94","gene10174","AAEL004526","",1044.65628674801,1.2825556835138,0.172926095534677,7.41678506964616,1.1999743984058e-13,2.10921295022495e-12
"95","gene10175","AAEL004513","",1507.58793502267,-1.9197582541239,0.243128197135299,-7.8960740742694,2.87825669233624e-15,5.98220398603533e-14
"96","gene10177","AAEL004533","",631.165299345222,1.03030676199775,0.439954799340421,2.34184685231844,0.019188586896661,0.047432711985899
"97","gene1018","AAEL006724","",961.684830813706,-0.393955892858218,0.190656958704675,-2.06630744314164,0.0387994590651193,0.0858674666511606
"98","gene10189","AAEL004532","",2802.63120281501,1.93054508709094,0.163238554485995,11.8265264794204,2.84680172878589e-32,2.02299153327009e-30
"99","gene1019","AAEL006754","",917.544880873256,0.553295886570591,0.213351702600091,2.59335116536518,0.0095045667691205,0.0260681216496205
"100","gene10190","AAEL004529","",1732.41617206956,0.554895088550444,0.15561546156118,3.56580948309104,0.000362734820527517,0.00149038869128087
"101","gene10192","AAEL004521","",42365.5079135371,-0.633607255227565,0.147473141440143,-4.29642475260309,1.73574850276054e-05,9.50902162507178e-05
"102","gene10193","AAEL004527","",1583.6424501781,0.510396149547104,0.157062203457916,3.24964337892955,0.00115549812632256,0.00413711577233964
"103","gene10196","AAEL004523","",12478.8721794351,0.33331068286989,0.143594101881446,2.32120037315374,0.0202760320625115,0.0497254275215873
"104","gene10198","AAEL004534","",40306.7674699495,-1.21668445890942,0.175835724722395,-6.91943836117654,4.53437725236701e-12,6.69302786716843e-11
"105","gene102","AAEL008904","",36.8538194093959,1.94216859939619,0.880517673054701,2.20571222910087,0.0274041551180486,0.0641292467973403
"106","gene10201","AAEL011824","",569.42963283234,2.31686732264608,0.37716620901588,6.14282845934518,8.1064816071572e-10,9.04809461657494e-09
"107","gene10202","AAEL011821","",1319.40839923766,-1.98729720892768,0.495536156694198,-4.01039799433659,6.06164842522613e-05,0.000295710949492153
"108","gene10203","AAEL010395","",1595.27339360025,0.837265520689132,0.189813326394298,4.41099440483902,1.02896977316078e-05,5.9053768849668e-05
"109","gene1021","AAEL006738","",3609.19241304583,-1.16540076620601,0.235915720609515,-4.93990295854412,7.81614598887798e-07,5.50709851709283e-06
"110","gene10211","AAEL010398","",202.776141902849,1.41673485882262,0.414798999594745,3.41547318148492,0.000636712989674618,0.00244447335860929
