"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"1","gene10010",1,"gene10010","supercont1.421;supercont1.421","443337;445781","444169;446531","+;+",1584,"AAEL009726",NA,NA,NA,NA,NA,"","","","FBpp0083832-FBpp0081237-FBpp0073071-FBpp0082425-FBpp0084481-FBpp0085000","FBgn0039102-FBgn0037515-FBgn0035501-FBgn0038250-FBgn0039494-FBgn0039759","CG16705-CG3066-CG1299-CG3505-CG5896-CG9733","SPE-Sp7-CG1299-CG3505-grass-CG9733","1e-16-7e-16-1e-15-6e-14-6e-14-4e-12",""
"2","gene10020",2,"gene10020","supercont1.421;supercont1.421;supercont1.421;supercont1.421;supercont1.421","235433;239003;239210;240279;240542","235474;239134;239397;240465;243528","+;+;+;+;+",3536,"AAEL009723",NA,NA,NA,NA,NA,"","","","FBpp0291738-FBpp0086184-FBpp0071674-FBpp0078910-FBpp0290150-FBpp0111882","FBgn0087011-FBgn0034160-FBgn0050281-FBgn0031804-FBgn0050280-FBgn0030164","CG41520-CG5550-CG30281-CG9500-CG30280-CG1889","CG41520-CG5550-CG30281-CG9500-CG30280-CG1889","2e-154-6e-42-3e-39-4e-37-6e-36-5e-35",""
"3","gene10039",3,"gene10039","supercont1.49","2763468","2765436","-",1969,"AAEL002113","EOG85QM59","FBpp0078358","FBgn0037356","CG12170","CG12170","","","","FBpp0078358-FBpp0077343-FBpp0297101-FBpp0077342","FBgn0037356-FBgn0283427-FBgn0040001-FBgn0042627","CG12170-CG3523-CG17374-CG3524","CG12170-FASN1-FASN3-FASN2","6e-166-4e-20-2e-19-3e-16",""
"4","gene10058",4,"gene10058","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","703546;704441;704718;724833;725875;726376;726524;726912;732382","704380;704655;704839;724972;726370;726498;726851;727034;732479","-;-;-;-;-;-;-;-;-",2480,"AAEL002123",NA,NA,NA,NA,NA,"","","","FBpp0293546-FBpp0076484","FBgn0262562-FBgn0024187","CG43102-CG8110","CG43102-syd","0-4e-19",""
"5","gene10070",1,"gene10070","supercont1.1260;supercont1.1260;supercont1.1260;supercont1.1260","115538;127322;127795;140893","116755;127729;127914;141633","-;-;-;-",2487,"AAEL014762","EOG87H8G4","FBpp0088863","FBgn0039714","CG7816","Zip99C","","","","FBpp0088859-FBpp0080687","FBgn0039714-FBgn0002022","CG7816-CG10449","Zip99C-Catsup","5e-154-5e-37",""
"6","gene10078",4,"gene10078","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","610645;624754;635801;676841;760918","612128;625061;636472;676870;762035","-;-;-;-;-",3612,"AAEL006339","EOG84N1HK-EOG84N1HK","FBpp0075290-FBpp0072378","FBgn0052150-FBgn0035104","CG32150-CG13875","CG32150-CG13875","","","","FBpp0072378-FBpp0075290-FBpp0084272","FBgn0035104-FBgn0052150-FBgn0261986","CG13875-CG32150-CG5053","CG13875-CG32150-RASSF8","3e-20-4e-13-8e-09",""
"7","gene10082",4,"gene10082","supercont1.201;supercont1.201;supercont1.201;supercont1.201","980972;994871;1002439;1025741","981656;995242;1002874;1035869","+;+;+;+",11622,"AAEL006330","EOG80GGG1","FBpp0075315","FBgn0267390","CG6498","dop","","","","FBpp0075315-FBpp0082680-FBpp0074691-FBpp0307466-FBpp0293606","FBgn0267390-FBgn0010379-FBgn0003744-FBgn0000273-FBgn0003091","CG6498-CG4006-CG8637-CG4379-CG6622","dop-Akt1-trc-Pka-C1-Pkc53E","0-7e-61-1e-60-2e-58-3e-58",""
"8","gene10083",1,"gene10083","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1279511;1297334;1297581;1298013;1298551;1300518","1280498;1297476;1297961;1298520;1298749;1300639","-;-;-;-;-;-",2341,"AAEL006346","EOG8G4KGW","FBpp0075353","FBgn0036505","CG7945","CG7945","","","","FBpp0075353","FBgn0036505","CG7945","CG7945","6.00E-63",""
"9","gene10084",1,"gene10084","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1244442;1244878;1245283;1245450;1245598","1244817;1245226;1245388;1245522;1245885","+;+;+;+;+",1192,"AAEL006359",NA,NA,NA,NA,NA,"","","","FBpp0113033-FBpp0081454-FBpp0307660-FBpp0086735","FBgn0034887-FBgn0037665-FBgn0265052-FBgn0033887","CG5428-CG16733-CG44167-CG6704","St1-St2-St3-St4","2e-76-7e-65-9e-53-2e-32",""
"10","gene10090",1,"gene10090","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1550504;1559076;1559473;1560286","1550690;1559411;1560108;1560878","+;+;+;+",1752,"AAEL006355","EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S","FBpp0077156-FBpp0087112-FBpp0077155-FBpp0077249","FBgn0014033-FBgn0020377-FBgn0020376-FBgn0031547","CG4099-CG8856-CG31962-CG3212","Sr-CI-Sr-CII-Sr-CIII-Sr-CIV","","","","FBpp0077156-FBpp0087112-FBpp0077249-FBpp0077155-FBpp0086264-FBpp0291317","FBgn0014033-FBgn0020377-FBgn0031547-FBgn0020376-FBgn0040505-FBgn0032797","CG4099-CG8856-CG3212-CG31962-CG8250-CG10186","Sr-CI-Sr-CII-Sr-CIV-Sr-CIII-Alk-CG10186","4e-57-4e-55-4e-51-6e-31-3e-09-3e-06",""
"11","gene10103",5,"gene10103","supercont1.201;supercont1.201;supercont1.201","1238246;1238960;1239478","1238903;1239417;1239702","+;+;+",1341,"AAEL006353",NA,NA,NA,NA,NA,"","","","FBpp0113033-FBpp0081454-FBpp0307660-FBpp0086735","FBgn0034887-FBgn0037665-FBgn0265052-FBgn0033887","CG5428-CG16733-CG44167-CG6704","St1-St2-St3-St4","4e-70-9e-67-3e-47-2e-36",""
