gene_id,vectorbase,chemo,family
gene230,AAEL008360,5-HT1A/B,
gene12945,AAEL017162,5-HT2A,
gene6134,AAEL017272,5-HT2A,
gene196,AAEL015553,5-HT2B,
gene4061,AAEL002717,5-HT2B,
gene9340,AAEL017126,5-HT2B,
gene4716,AAEL016993,5-HT7,
gene8295,AAEL009573,5-HT7,
gene9063,AAEL011844,5-HT7,
gene15675,AAEL002380,AaegGr1,
gene15669,AAEL000082,AaegGr10,
gene15695,AAEL011174,AaegGr11,
gene15681,AAEL015071,AaegGr12P,
gene15688,AAEL018071,AaegGr13P,
gene15911,AAEL011571,AaegGr14,
gene15799,AAEL017304,AaegGr15,
gene15798,AAEL017230,AaegGr16,
gene15803,AAEL017097,AaegGr17,
gene15804,AAEL017327,AaegGr18,
gene15917,AAEL011073,AaegGr19,
gene13851,AAEL002167,AaegGr2,
gene15989,AAEL007935,AaegGr20,
gene15744,AAEL013192,AaegGr21,
gene15742,AAEL013190,AaegGr22,
gene15750,AAEL013196,AaegGr23,
gene15743,AAEL013196,AaegGr24P,
gene15747,AAEL013193,AaegGr25,
gene15746,AAEL013195,AaegGr26,
gene16177,AAEL015556,AaegGr27,
gene15981,AAEL010277,AaegGr28,
gene15980,AAEL010275,AaegGr29,
gene15925,AAEL010058,AaegGr3,
gene15827,AAEL013646,AaegGr30P,
gene15991,AAEL007933,AaegGr31,
gene15978,AAEL017063,AaegGr32,
gene15888,AAEL017446,AaegGr33,
gene15944,AAEL000162,AaegGr34,
gene15937,AAEL017415,AaegGr35,
gene15629,AAEL017169,AaegGr36,
gene15766,AAEL017235,AaegGr37,
gene15814,AAEL018088,AaegGr38P,
gene15765,AAEL017323,AaegGr39,
gene15665,AAEL000048,AaegGr4,
gene15815,RU277,AaegGr40,
gene15994,AAEL006500,AaegGr41,
gene2023,AAEL017449,AaegGr42,
gene2038,AAEL017182,AaegGr43,
gene15993,AAEL017569,AaegGr44,
gene15995,AAEL006494,AaegGr45,
gene15992,AAEL017092,AaegGr46,
gene15996,AAEL017408,AaegGr47,
gene15914,AAEL018062,AaegGr48P,
gene15973,AAEL017488,AaegGr49,
gene15670,AAEL000043,AaegGr5,
gene15975,AAEL018078,AaegGr50P,
gene15797,AAEL017130,AaegGr51,
gene15938,AAEL002326_1,AaegGr52P,
gene15976,AAEL010279,AaegGr53,
gene15977,AAEL017364,AaegGr54,
gene15979,AAEL010274,AaegGr55,
gene15972,AAEL010278,AaegGr56,
gene15974,AAEL010272,AaegGr57,
gene15745,AAEL017324,AaegGr58,
gene15748,AAEL013200,AaegGr59,
gene15663,AAEL000012,AaegGr6,
gene15990,AAEL017450,AaegGr60,
gene15988,AAEL017202,AaegGr61,
gene15986,AAEL017040,AaegGr62,
gene15856,AAEL017565,AaegGr63,
gene1109,AAEL007142,AaegGr64,
gene15801,AAEL017295,AaegGr65,
gene15800,AAEL017394,AaegGr66,
gene15758,AAEL017158,AaegGr67,
gene15759,AAEL017527,AaegGr68,
gene15760,AAEL017441,AaegGr69,
gene15673,AAEL000060,AaegGr7,
gene15999,AAEL017432,AaegGr70,
gene15998,AAEL017307,AaegGr71,
gene6283,AAEL017216,AaegGr72,
gene15714,AAEL010962,AaegGr73,
gene15834,AAEL017476,AaegGr74,
gene15915,AAEL018062,AaegGr75P,
gene15947,AAEL009545,AaegGr76,
gene15987,AAEL007940,AaegGr77,
gene15931,AAEL017312,AaegGr78,
gene15805,AAEL017486,AaegGr79,
gene15667,AAEL000069,AaegGr8P,
gene15666,AAEL000075,AaegGr9,
gene2856,AAEL015078,AaegIr100a.1,
gene15950,AAEL015266,AaegIr100a.2,
gene1249,AAEL008332,AaegIr100c.1,
gene15874,AAEL008332,AaegIr100c.1v2,
gene7871,AAEL015267,AaegIr100c.2,
gene7872,AAEL015265,AaegIr100d,
gene2855,AAEL015079,AaegIr100e.1,
gene3259,AAEL015647,AaegIr100e.2,
gene15773,AAEL013241,AaegIr101,
gene2558,AAEL011122,AaegIr103,
