internal.gene_id.x,vectorbase.RU,display.name,gene.family,gene.family.specific,flybase.fbpp,orthodb.group,flybase.fbgn,flybase.annot,flybase.gene
gene1,AAEL009972,,,,NA,NA,NA,NA,NA
gene10,AAEL009960,,,,FBpp0084112,EOG890B1D,FBgn0045980,CG10951,niki
gene100,AAEL008895,,,,FBpp0111412,EOG80GGGH,FBgn0085332,CG34303,CG34303
gene1000,AAEL006735,,,,FBpp0074799,EOG8GMXP7,FBgn0036850,CG10419,Gem2
gene10000,AAEL009664,,,,FBpp0300518,EOG82RGZZ,FBgn0010548,CG11140,Aldh-III
gene10001,AAEL017426,,,,NA,NA,NA,NA,NA
gene10002,AAEL009669,,,,FBpp0077261,EOG8DJNN8,FBgn0031538,CG3246,CG3246
gene10003,AAEL009667,,,,NA,NA,NA,NA,NA
gene10004,AAEL009670,,,,FBpp0072529,EOG8B8N5T,FBgn0004429,CG9116,LysP
gene10004,AAEL009670,,,,FBpp0072526,EOG8B8N5T,FBgn0004428,CG1180,LysE
gene10004,AAEL009670,,,,FBpp0072527,EOG8B8N5T,FBgn0004430,CG1165,LysS
gene10004,AAEL009670,,,,FBpp0072525,EOG8B8N5T,NA,NA,NA
gene10004,AAEL009670,,,,FBpp0086336,EOG8B8N5T,FBgn0034092,CG7798,CG7798
gene10004,AAEL009670,,,,FBpp0072530,EOG8B8N5T,FBgn0004427,CG9118,LysD
gene10004,AAEL009670,,,,FBpp0292257,EOG8B8N5T,FBgn0050062,CG30062,CG30062
gene10004,AAEL009670,,,,FBpp0072533,EOG8B8N5T,FBgn0004431,CG9120,LysX
gene10004,AAEL009670,,,,FBpp0072524,EOG8B8N5T,FBgn0004425,CG1179,LysB
gene10005,AAEL009668,,,,FBpp0079885,EOG8SXR3P,FBgn0027505,CG7061,Rab3-GAP
gene10006,AAEL009725,,,,NA,NA,NA,NA,NA
gene10007,AAEL009718,,,,FBpp0077762,EOG80CM74,FBgn0031216,CG11376,Zir
gene10008,AAEL009717,,,,NA,NA,NA,NA,NA
gene10009,AAEL009715,,,,NA,NA,NA,NA,NA
gene1001,AAEL006751,,,,NA,NA,NA,NA,NA
gene10010,AAEL009726,,,,NA,NA,NA,NA,NA
gene10011,AAEL009729,,,,FBpp0291562,EOG8BP44Q,FBgn0038087,CG10134,beat-Va
gene10011,AAEL009729,,,,FBpp0082127,EOG8BP44Q,FBgn0038084,CG14390,beat-Vc
gene10012,AAEL009730,,,,NA,NA,NA,NA,NA
gene10013,AAEL009727,,,,NA,NA,NA,NA,NA
gene10014,AAEL009724,,,,NA,NA,NA,NA,NA
gene10015,AAEL009721,,,,FBpp0070479,EOG81ZJ2B,FBgn0024992,CG2658,CG2658
gene10016,AAEL009716,,,,FBpp0082152,EOG84N1J7,FBgn0038092,CG31298,beat-Vb
gene10017,AAEL009722,,,,NA,NA,NA,NA,NA
gene10018,AAEL009728,,,,NA,NA,NA,NA,NA
gene10019,AAEL009720,,,,NA,NA,NA,NA,NA
gene1002,AAEL006723,,,,FBpp0076687,EOG8X6G19,FBgn0035708,CG8398,CG8398
gene10020,AAEL009723,,,,NA,NA,NA,NA,NA
gene10021,AAEL009719,,,,FBpp0289929,EOG8FN78G,FBgn0039150,CG13605,CG13605
gene10022,AAEL002133,,,,NA,NA,NA,NA,NA
gene10023,AAEL002105,,,,NA,NA,NA,NA,NA
gene10024,AAEL002134,,,,FBpp0082937,EOG89CT1C,FBgn0038545,CG7713,CG7713
gene10025,AAEL002093,,,,NA,NA,NA,NA,NA
gene10026,AAEL002114,,,,NA,NA,NA,NA,NA
gene10027,AAEL002100,,,,NA,NA,NA,NA,NA
gene10028,AAEL002132,,,,NA,NA,NA,NA,NA
gene10029,AAEL002106,,,,FBpp0289882,EOG8ZCWWF,FBgn0260398,CG42515,Pbp49
gene1003,AAEL006732,,,,FBpp0271859,EOG81K23Q,FBgn0035099,CG6845,CG6845
gene10030,AAEL002091,,,,FBpp0081569,EOG88D3KS,FBgn0037734,CG9448,trbd
gene10031,AAEL002119,,,,FBpp0073068,EOG8JWZ61,FBgn0003206,CG1167,Ras64B
gene10032,AAEL002120,,,,NA,NA,NA,NA,NA
gene10033,AAEL002109,,,,NA,NA,NA,NA,NA
gene10034,AAEL002115,,,,NA,NA,NA,NA,NA
gene10035,AAEL002110,,,,FBpp0073109,EOG8MPMHB,FBgn0035511,CG15007,Cpr64Ab
gene10036,AAEL002104,,,,NA,NA,NA,NA,NA
gene10037,AAEL002124,,,,FBpp0073071,EOG8XKXZC,FBgn0035501,CG1299,CG1299
gene10038,AAEL002098,,,,FBpp0070624,EOG81K23H,FBgn0002707,CG3697,mei-9
gene10039,AAEL002113,,,,FBpp0078358,EOG85QM59,FBgn0037356,CG12170,CG12170
gene1004,AAEL006721,,,,FBpp0111773,EOG8CZF63,FBgn0010352,CG11661,Nc73EF
gene10040,AAEL002102,,,,FBpp0073073,EOG8Z0DX9,FBgn0261274,CG1333,Ero1L
gene10041,AAEL002095,,,,NA,NA,NA,NA,NA
