"","vectorbase.RU","internal.gene_id.x","display.name.x","gene.family.x","gene.family.specific.x","fbpp","odb8_og_id","internal.gene_id.y","display.name.y","gene.family.y","gene.family.specific.y","fbgn","annotation_ID","gene_symbol"
"1","AAEL000001","gene8103","","","","FBpp0071046","EOG84N1HW","gene8103","","","","FBgn0010292","CG1430","bys"
"2","AAEL000002","gene8175","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AAEL000003","gene8163","","","","FBpp0073530","EOG815K4W","gene8163","","","","FBgn0052649","CG32649","CG32649"
"4","AAEL000004","gene8138","","","","FBpp0073008","EOG8HMN1R","gene8138","","","","FBgn0035464","CG12006","CG12006"
"5","AAEL000005","gene8114","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AAEL000006AAEL000025","gene8105","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AAEL000007","gene8096","AaegIr41a.1","IR","IR","FBpp0290822","EOG8HDWK4","gene8096","AaegIr41a.1","IR","IR","FBgn0260874","CG42584","Ir76a"
"8","AAEL000007","gene8096","AaegIr41a.1","IR","IR","FBpp0307916","EOG8HDWK4","gene8096","AaegIr41a.1","IR","IR","FBgn0040849","CG33492","Ir41a"
"9","AAEL000008","gene8094","","","","FBpp0085923","EOG837V5D","gene8094","","","","FBgn0000057","CG5124","adp"
"10","AAEL000009","gene8128","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AAEL000010","gene8144","","","","FBpp0070150","EOG80KBRS","gene8144","","","","FBgn0002579","CG7622","RpL36"
"12","AAEL000011","gene8098","AaegIr41e","IR","IR","FBpp0307916","EOG8HDWK4","gene8098","AaegIr41e","IR","IR","FBgn0040849","CG33492","Ir41a"
"13","AAEL000011","gene8098","AaegIr41e","IR","IR","FBpp0290822","EOG8HDWK4","gene8098","AaegIr41e","IR","IR","FBgn0260874","CG42584","Ir76a"
"14","AAEL000012","gene15663","AaegGr6","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AAEL000013","gene8157","","","","FBpp0076113","EOG870X88","gene8157","","","","FBgn0036020","CG8336","CG8336"
"16","AAEL000014","gene8112","","","","FBpp0311302","EOG82Z7FF","gene8112","","","","FBgn0263257","CG43395","Cngl"
"17","AAEL000015","gene8160","","","","FBpp0302573","EOG8JDKZ1","gene8160","","","","FBgn0051151","CG31151","wge"
"18","AAEL000016","gene8153","","","","FBpp0083317","EOG8KSSB2","gene8153","","","","FBgn0038806","CG5412","CG5412"
"19","AAEL000017","gene8141","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AAEL000018","gene8172","AaegIr41j","IR","IR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AAEL000019","gene8120","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AAEL000020","gene8119","","","","FBpp0082626","EOG88SKJM","gene8119","","","","FBgn0038360","CG9590","CG9590"
"23","AAEL000021","gene8108","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AAEL000022","gene8116","","","","FBpp0083036","EOG89KJH0","gene8116","","","","FBgn0038577","CG12321","CG12321"
"25","AAEL000023","gene8142","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AAEL000024","gene8162","","","","FBpp0082190","EOG8323PV","gene8162","","","","FBgn0038105","CG8063","yellow-f2"
"27","AAEL000024","gene8162","","","","FBpp0082191","EOG8323PV","gene8162","","","","FBgn0041710","CG18550","yellow-f"
"28","AAEL000026","gene8159","","","","FBpp0081693","EOG8GJ2FT","gene8159","","","","FBgn0037773","CG5359","CG5359"
"29","AAEL000026","gene8159","","","","FBpp0075301","EOG8GJ2FT","gene8159","","","","FBgn0036499","CG7276","CG7276"
"30","AAEL000027","gene8174","AaegIr41d.1","IR","IR","FBpp0307916","EOG8HDWK4","gene8174","AaegIr41d.1","IR","IR","FBgn0040849","CG33492","Ir41a"
"31","AAEL000027","gene8174","AaegIr41d.1","IR","IR","FBpp0290822","EOG8HDWK4","gene8174","AaegIr41d.1","IR","IR","FBgn0260874","CG42584","Ir76a"
"32","AAEL000028","gene8107","","","","FBpp0085000","EOG8STVX0","gene8107","","","","FBgn0039759","CG9733","CG9733"
"33","AAEL000028","gene8107","","","","FBpp0083832","EOG8STVX0","gene8107","","","","FBgn0039102","CG16705","SPE"
"34","AAEL000028","gene8107","","","","FBpp0082539","EOG8STVX0","gene8107","","","","FBgn0000533","CG4920","ea"
"35","AAEL000028","gene8107","","","","FBpp0290158","EOG8STVX0","gene8107","","","","FBgn0027930","CG1102","MP1"
"36","AAEL000028","gene8107","","","","FBpp0081237","EOG8STVX0","gene8107","","","","FBgn0037515","CG3066","Sp7"
"37","AAEL000028","gene8107","","","","FBpp0304083","EOG8STVX0","gene8107","","","","FBgn0085438","CG34409","CG34409"
"38","AAEL000029","gene8126","","","","FBpp0082191","EOG8323PV","gene8126","","","","FBgn0041710","CG18550","yellow-f"
"39","AAEL000029","gene8126","","","","FBpp0082190","EOG8323PV","gene8126","","","","FBgn0038105","CG8063","yellow-f2"
