"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"1","gene10103",1,"gene10103","supercont1.201;supercont1.201;supercont1.201","1238246;1238960;1239478","1238903;1239417;1239702","+;+;+",1341,"AAEL006353",NA,NA,NA,NA,NA,"","","","FBpp0113033-FBpp0081454-FBpp0307660-FBpp0086735","FBgn0034887-FBgn0037665-FBgn0265052-FBgn0033887","CG5428-CG16733-CG44167-CG6704","St1-St2-St3-St4","4e-70-9e-67-3e-47-2e-36",""
"2","gene10108",2,"gene10108","supercont1.201;supercont1.201","1151157;1152358","1152304;1152607","-;-",1398,"AAEL006348","EOG864338-EOG864338-EOG864338","FBpp0074815-FBpp0074836-FBpp0075602","FBgn0036833-FBgn0036831-FBgn0036321","CG3819-CG6839-CG14120","CG3819-CG6839-CG14120","","","","FBpp0074815-FBpp0074836-FBpp0075602-FBpp0075604-FBpp0084687-FBpp0291689-FBpp0288726-FBpp0084676","FBgn0036833-FBgn0036831-FBgn0036321-FBgn0036323-FBgn0039592-FBgn0053346-FBgn0033490-FBgn0039593","CG3819-CG6839-CG14120-CG14118-CG14062-CG33346-CG12917-CG9989","CG3819-CG6839-CG14120-CG14118-CG14062-CG33346-CG12917-Sid","2e-91-8e-86-7e-79-9e-78-1e-28-7e-20-4e-17-1e-10",""
"3","gene10146",1,"gene10146","supercont1.265","1323170","1324500","+",1331,"AAEL007590",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0086089-FBpp0292990","FBgn0030521-FBgn0034709-FBgn0034229-FBgn0013770","CG10992-CG3074-CG4847-CG6692","CtsB1-Swim-CG4847-Cp1","2e-73-2e-33-3e-15-1e-14",""
"4","gene10159",1,"gene10159","supercont1.265","1279678","1280850","+",1173,"AAEL007599",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0292990-FBpp0086090","FBgn0030521-FBgn0034709-FBgn0013770-FBgn0034229","CG10992-CG3074-CG6692-CG4847","CtsB1-Swim-Cp1-CG4847","4e-93-4e-44-4e-22-7e-20",""
"5","gene10161",1,"gene10161","supercont1.265","1262510","1264618","-",2109,"AAEL007585",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0078464-FBpp0086089","FBgn0030521-FBgn0034709-FBgn0260462-FBgn0034229","CG10992-CG3074-CG12163-CG4847","CtsB1-Swim-CG12163-CG4847","5e-90-2e-44-4e-18-6e-18",""
"6","gene10205",3,"gene10205","supercont1.475","858816","859148","-",333,"AAEL010400",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"7","gene10235",1,"gene10235","supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739","244599;255784;257005;261338;261547;262108;262326","244987;256938;257086;261491;262045;262263;262786","-;-;-;-;-;-;-",2896,"AAEL012776",NA,NA,NA,NA,NA,"","","","FBpp0083525-FBpp0083524-FBpp0288476-FBpp0084770-FBpp0084767","FBgn0051233-FBgn0051343-FBgn0038135-FBgn0051445-FBgn0263236","CG31233-CG31343-CG8773-CG31445-CG11956","CG31233-CG31343-CG8773-CG31445-SP1029","1e-144-1e-129-9e-118-7e-114-6e-111",""
"8","gene10253",3,"gene10253","supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348;supercont1.348","733407;735571;744985;745182;745511;745791;746074;746389;753365;753792;761451;762090;762190;762662","735503;744911;745122;745454;745720;746010;746244;746625;753511;754075;761504;762129;762493;762710","-;-;-;-;-;-;-;-;-;-;-;-;-;-",13565,"AAEL008773","EOG8TF39F","FBpp0076722","FBgn0002526","CG10236","LanA","","","","FBpp0076722-FBpp0076111-FBpp0291871-FBpp0079114","FBgn0002526-FBgn0267348-FBgn0261563-FBgn0261800","CG10236-CG3322-CG42677-CG7123","LanA-LanB2-wb-LanB1","0-2e-119-9e-104-3e-81",""
"9","gene10301",4,"gene10301","supercont1.455;supercont1.455","443789;445708","445650;445932","-;-",2087,"AAEL010128",NA,NA,NA,NA,NA,"","","","FBpp0080067-FBpp0084911-FBpp0292334-FBpp0288699-FBpp0303959","FBgn0032479-FBgn0039728-FBgn0028872-FBgn0036587-FBgn0036995","CG16974-CG7896-CG18095-CG4950-CG5195","CG16974-CG7896-CG18095-CG4950-atk","4e-14-1e-13-3e-12-5e-12-1e-11",""
"10","gene1042",2,"gene1042","supercont1.637;supercont1.637;supercont1.637","138648;138940;139157","138870;139079;140363","-;-;-",1570,"AAEL011957",NA,NA,NA,NA,NA,"","","","FBpp0083657-FBpp0083674-FBpp0083654-FBpp0078579-FBpp0083678-FBpp0087468","FBgn0053110-FBgn0038986-FBgn0260942-FBgn0051522-FBgn0038983-FBgn0050008","CG33110-CG5278-CG6921-CG31522-CG5326-CG30008","CG33110-CG5278-bond-CG31522-CG5326-CG30008","7e-38-5e-36-4e-35-1e-34-2e-32-2e-30",""
