"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"1","gene10000",1,"gene10000","supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417","891615;891723;891882;901857;903998;904394;904512;905073;905533;905809;905982;906387","891666;891828;892193;902067;904298;904452;905007;905467;905730;905924;906326;906479","+;+;+;+;+;+;+;+;+;+;+;+",2684,"AAEL009664","EOG82RGZZ","FBpp0300518","FBgn0010548","CG11140","Aldh-III","","","","FBpp0088066","FBgn0010548","CG11140","Aldh-III","0",""
"2","gene10003",2,"gene10003","supercont1.417;supercont1.417;supercont1.417","742527;749198;749836","742957;749783;750082","-;-;-",1264,"AAEL009667",NA,NA,NA,NA,NA,"","","","FBpp0289967-FBpp0081596-FBpp0072361","FBgn0037655-FBgn0037705-FBgn0004919","CG11984-CG9381-CG2679","CG11984-mura-gol","1e-09-5e-08-6e-07",""
"3","gene10037",3,"gene10037","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2638182;2638685;2648257;2648402;2648906;2660876","2638624;2638769;2648332;2648846;2649277;2660936","-;-;-;-;-;-",1482,"AAEL002124","EOG8XKXZC","FBpp0073071","FBgn0035501","CG1299","CG1299","","","","FBpp0073071-FBpp0304903-FBpp0301202-FBpp0082539-FBpp0294007-FBpp0071658-FBpp0071657-FBpp0074713","FBgn0035501-FBgn0052260-FBgn0039272-FBgn0000533-FBgn0051728-FBgn0042098-FBgn0034661-FBgn0036891","CG1299-CG32260-CG11836-CG4920-CG31728-CG18735-CG4386-CG9372","CG1299-CG32260-CG11836-ea-CG31728-CG18735-CG4386-CG9372","4e-124-3e-66-2e-54-3e-54-2e-52-3e-52-9e-52-4e-51",""
"4","gene10042",1,"gene10042","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","1798807;1799648;1800055;1809670;1810029;1810273;1810542;1825816;1826077","1799585;1799992;1800200;1809970;1810215;1810482;1810967;1825921;1826834","-;-;-;-;-;-;-;-;-",3258,"AAEL002107","EOG87SW57","FBpp0073081","FBgn0035515","CG14997","CG14997","","","","FBpp0073081-FBpp0070426","FBgn0035515-FBgn0040336","CG14997-CG9904","CG14997-Seipin","6e-176-4e-63",""
"5","gene10054",4,"gene10054","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2361752;2362036;2362469;2370395","2361968;2362405;2362705;2370443","+;+;+;+",873,"AAEL002088","EOG8MD0RH","FBpp0289848","FBgn0035505","CG15004","Teh2","","","","FBpp0073114-FBpp0081629-FBpp0073075-FBpp0073113-FBpp0290859","FBgn0035505-FBgn0037766-FBgn0003710-FBgn0040697-FBgn0035504","CG15004-CG12806-CG1232-CG18676-CG15003","Teh2-Teh1-tipE-Teh3-Teh4","5e-136-4e-35-1e-18-3e-09-2e-08",""
"6","gene10070",5,"gene10070","supercont1.1260;supercont1.1260;supercont1.1260;supercont1.1260","115538;127322;127795;140893","116755;127729;127914;141633","-;-;-;-",2487,"AAEL014762","EOG87H8G4","FBpp0088863","FBgn0039714","CG7816","Zip99C","","","","FBpp0088859-FBpp0080687","FBgn0039714-FBgn0002022","CG7816-CG10449","Zip99C-Catsup","5e-154-5e-37",""
"7","gene10075",6,"gene10075","supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961","34003;48885;49122;49777;50005;50285;68542;96436;97534;141754","36157;49056;49682;49938;50159;51760;69099;97000;97554;142297","-;-;-;-;-;-;-;-;-;-",6369,"AAEL018268","EOG8XPT65","FBpp0292356","FBgn0025641","CG14622","DAAM","","","","FBpp0070229-FBpp0113065","FBgn0025641-FBgn0267795","CG14622-CG32138","DAAM-CG32138","0-2e-33",""
"8","gene10084",5,"gene10084","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1244442;1244878;1245283;1245450;1245598","1244817;1245226;1245388;1245522;1245885","+;+;+;+;+",1192,"AAEL006359",NA,NA,NA,NA,NA,"","","","FBpp0113033-FBpp0081454-FBpp0307660-FBpp0086735","FBgn0034887-FBgn0037665-FBgn0265052-FBgn0033887","CG5428-CG16733-CG44167-CG6704","St1-St2-St3-St4","2e-76-7e-65-9e-53-2e-32",""
"9","gene10086",2,"gene10086","supercont1.201;supercont1.201;supercont1.201","1561067;1561198;1561593","1561139;1561395;1562806","+;+;+",1485,"AAEL006361","EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S","FBpp0077156-FBpp0077249-FBpp0087112-FBpp0077155","FBgn0014033-FBgn0031547-FBgn0020377-FBgn0020376","CG4099-CG3212-CG8856-CG31962","Sr-CI-Sr-CIV-Sr-CII-Sr-CIII","","","","FBpp0077156-FBpp0077249-FBpp0087112-FBpp0077155-FBpp0086264-FBpp0291372","FBgn0014033-FBgn0031547-FBgn0020377-FBgn0020376-FBgn0040505-FBgn0031879","CG4099-CG3212-CG8856-CG31962-CG8250-CG9138","Sr-CI-Sr-CIV-Sr-CII-Sr-CIII-Alk-uif","6e-57-5e-56-1e-49-3e-35-3e-11-5e-07",""
"10","gene1009",5,"gene1009","supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219","1549910;1550098;1550878;1551111;1551457;1571629","1550020;1550338;1551049;1551404;1551595;1574819","-;-;-;-;-;-",4148,"AAEL006753","EOG8030JN","FBpp0087273","FBgn0033610","CG18335","CG18335","","","","FBpp0087273-FBpp0087271","FBgn0033610-FBgn0040763","CG18335-CG18336","CG18335-CG18336","6e-53-3e-10",""
