Internal gene ID,Vectorbase Identifier,OrthoDB category,OrthoDB D. mel ,Display name,Gene family,Gene subfamily,Name evidence
gene11370,AAEL012141,EOG8WM7K6,Ace,Ace,Ach processing,Ach processing,orthoDB
gene5774,AAEL000511,NA,NA,Ace,Ach processing,Ach processing,BLASTX
gene3122,AAEL017181,EOG8BCHD3,mAChR-A,mAChR-A,ACh receptor,ACh receptor (muscarinic),orthoDB
gene14421,AAEL007832,EOG8SBHP8,mAChR-B,mAChR-B,ACh receptor,ACh receptor (muscarinic),orthoDB
gene564,AAEL015037,EOG8SBHP8,mAChR-B,mAChR-B,ACh receptor,ACh receptor (muscarinic),orthoDB
gene14773,AAEL004006,EOG8Q2H66,nAChRalpha1,nAChR_1,ACh receptor,ACh receptor (nicotonic),orthoDB
gene14777,AAEL004032,EOG8JMBFQ,nAChRalpha2,nAChR_2,ACh receptor,ACh receptor (nicotonic),orthoDB
gene12703,AAEL012106,EOG87H8FH-EOG87H8FH,nAChRalpha4-nAChRalpha3,nAChR_3/4,ACh receptor,ACh receptor (nicotinic),orthoDB
gene6721,AAEL004061,EOG87H8FH-EOG87H8FH,nAChRalpha4-nAChRalpha3,nAChR_3/4,ACh receptor,ACh receptor (nicotonic),orthoDB
gene13200,AAEL008055,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha5-nAChRalpha7-nAChRalpha6,nAChR_5/6/7,ACh receptor,ACh receptor (nicotinic),orthoDB
gene570,AAEL018352,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha6-nAChRalpha7-nAChRalpha5,nAChR_5/6/7,ACh receptor,ACh receptor (nicotinic),orthoDB
gene7110,AAEL007664,EOG8CG315-EOG8CG315-EOG8CG315,nAChRalpha6-nAChRalpha7-nAChRalpha5,nAChR_5/6/7,ACh receptor,ACh receptor (nicotinic),orthoDB
gene7611,AAEL010570,EOG80GGGJ,nAChRbeta1,nAChR_1,ACh receptor,ACh receptor (nicotinic),orthoDB
gene14800,AAEL018308,EOG8XD6GQ,nAChRbeta2,nAChR_2,ACh receptor,ACh receptor (nicotonic),orthoDB
gene12837,AAEL014238,EOG8W3WCS,Ddc,Ddc,biogenic amine processing,biogenic amine processing,orthoDB
gene4903,AAEL010737,NA,NA,Ddc,biogenic amine processing,biogenic amine processing,BLASTX
gene9871,AAEL014632,EOG8PRWG1,Hdc,Hdc,biogenic amine processing,biogenic amine processing,orthoDB
gene7017,AAEL010856,EOG8S4S6P,Tbh,Tbh,biogenic amine processing,biogenic amine processing,orthoDB
gene9529,AAEL003462,EOG82Z7FS,Tdc1,Tdc1,biogenic amine processing,biogenic amine processing,orthoDB
gene9515,AAEL018302,EOG8GMXNF,Tdc2,Tdc2,biogenic amine processing,biogenic amine processing,orthoDB
gene2663,AAEL017098,EOG80P6ZC,ple (TH),TH (ple),biogenic amine processing,biogenic amine processing,orthoDB
gene6014,AAEL003920,EOG8DNHWP,Dop1R1,Dop1R1,Dopamine receptor,Dopamine receptor,orthoDB
gene8803,AAEL005834,EOG8M688F,Dop1R2,Dop1R2,Dopamine receptor,Dopamine receptor,orthoDB
gene12552,AAEL014373,EOG844PBB,Dop2R,Dop2R,Dopamine receptor,Dopamine receptor,orthoDB
gene1604,AAEL017166,NA,NA,Dop2R,Dopamine receptor,Dopamine receptor,BLASTX
gene9236,AAEL007372,EOG890B1B,GABA-B-R1,GABA-B-R1,GABA receptor,GABA receptor (metabotropic),orthoDB
gene3252,AAEL010408,EOG8KPX24,GABA-B-R2,GABA-B-R2,GABA receptor,GABA receptor (metabotropic),orthoDB
gene5012,AAEL007709,EOG8BGCM7,GABA-B-R3,GABA-B-R3,GABA receptor,GABA receptor (metabotropic),orthoDB
gene13810,AAEL010710,EOG8NGKCD,Lcch3,Lcch3,GABA receptor,GABA receptor (ionotropic),orthoDB
gene227,AAEL008354,EOG890B1V,Rdl,Rdl,GABA receptor,GABA receptor (ionotropic),orthoDB
gene7883,AAEL011981,EOG8CC6RX,Gad1,Gad1,glutamate processing,glutamate processing,orthoDB
gene15368,AAEL007542,EOG8VMJ5X,b (Gad2),Gad2,glutamate processing,glutamate processing,orthoDB
gene9477,AAEL002509,NA,NA,CG3822,Glutamate receptor,Glutamate receptor (Kainate),BLASTX
gene9440,AAEL002538,EOG879HZF-EOG879HZF,CG3822-clumsy,CG3822/clumsy,Glutamate receptor,Glutamate receptor (Kainate),orthoDB
gene9462,AAEL002506,EOG879HZF-EOG879HZF,CG3822-clumsy,CG3822/clumsy,Glutamate receptor,Glutamate receptor (Kainate),orthoDB
gene9467,AAEL002518,EOG879HZF-EOG879HZF,CG3822-clumsy,CG3822/clumsy,Glutamate receptor,Glutamate receptor (Kainate),orthoDB
gene6517,AAEL018149,EOG87Q0X7-EOG87Q0X7,GluRIA-GluRIB,GluRIA/B,Glutamate receptor,Glutamate receptor (AMPA),orthoDB
gene9464,AAEL002511,EOG8ZPHKK-EOG8ZPHKK-EOG8ZPHKK,GluRIID-CG5621-GluRIIE,GluRIID/E/CG5621,Glutamate receptor,Glutamate receptor (Kainate),orthoDB
gene5680,AAEL017068,EOG8ZSCTG,mGluR,mGluR,Glutamate receptor,,orthoDB
