"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"1","gene10000",1,"gene10000","supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417","891615;891723;891882;901857;903998;904394;904512;905073;905533;905809;905982;906387","891666;891828;892193;902067;904298;904452;905007;905467;905730;905924;906326;906479","+;+;+;+;+;+;+;+;+;+;+;+",2684,"AAEL009664","EOG82RGZZ","FBpp0300518","FBgn0010548","CG11140","Aldh-III","","","","FBpp0088066","FBgn0010548","CG11140","Aldh-III","0",""
"2","gene10037",1,"gene10037","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2638182;2638685;2648257;2648402;2648906;2660876","2638624;2638769;2648332;2648846;2649277;2660936","-;-;-;-;-;-",1482,"AAEL002124","EOG8XKXZC","FBpp0073071","FBgn0035501","CG1299","CG1299","","","","FBpp0073071-FBpp0304903-FBpp0301202-FBpp0082539-FBpp0294007-FBpp0071658-FBpp0071657-FBpp0074713","FBgn0035501-FBgn0052260-FBgn0039272-FBgn0000533-FBgn0051728-FBgn0042098-FBgn0034661-FBgn0036891","CG1299-CG32260-CG11836-CG4920-CG31728-CG18735-CG4386-CG9372","CG1299-CG32260-CG11836-ea-CG31728-CG18735-CG4386-CG9372","4e-124-3e-66-2e-54-3e-54-2e-52-3e-52-9e-52-4e-51",""
"3","gene10042",1,"gene10042","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","1798807;1799648;1800055;1809670;1810029;1810273;1810542;1825816;1826077","1799585;1799992;1800200;1809970;1810215;1810482;1810967;1825921;1826834","-;-;-;-;-;-;-;-;-",3258,"AAEL002107","EOG87SW57","FBpp0073081","FBgn0035515","CG14997","CG14997","","","","FBpp0073081-FBpp0070426","FBgn0035515-FBgn0040336","CG14997-CG9904","CG14997-Seipin","6e-176-4e-63",""
"4","gene10054",2,"gene10054","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2361752;2362036;2362469;2370395","2361968;2362405;2362705;2370443","+;+;+;+",873,"AAEL002088","EOG8MD0RH","FBpp0289848","FBgn0035505","CG15004","Teh2","","","","FBpp0073114-FBpp0081629-FBpp0073075-FBpp0073113-FBpp0290859","FBgn0035505-FBgn0037766-FBgn0003710-FBgn0040697-FBgn0035504","CG15004-CG12806-CG1232-CG18676-CG15003","Teh2-Teh1-tipE-Teh3-Teh4","5e-136-4e-35-1e-18-3e-09-2e-08",""
"5","gene10070",3,"gene10070","supercont1.1260;supercont1.1260;supercont1.1260;supercont1.1260","115538;127322;127795;140893","116755;127729;127914;141633","-;-;-;-",2487,"AAEL014762","EOG87H8G4","FBpp0088863","FBgn0039714","CG7816","Zip99C","","","","FBpp0088859-FBpp0080687","FBgn0039714-FBgn0002022","CG7816-CG10449","Zip99C-Catsup","5e-154-5e-37",""
"6","gene10084",3,"gene10084","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1244442;1244878;1245283;1245450;1245598","1244817;1245226;1245388;1245522;1245885","+;+;+;+;+",1192,"AAEL006359",NA,NA,NA,NA,NA,"","","","FBpp0113033-FBpp0081454-FBpp0307660-FBpp0086735","FBgn0034887-FBgn0037665-FBgn0265052-FBgn0033887","CG5428-CG16733-CG44167-CG6704","St1-St2-St3-St4","2e-76-7e-65-9e-53-2e-32",""
"7","gene10100",4,"gene10100","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1459301;1460665;1467057;1468259","1460583;1461035;1467385;1469131","-;-;-;-",2856,"AAEL006350","EOG805VS0","FBpp0074587","FBgn0036936","CG14185","CG14185","","","","FBpp0074587-FBpp0087638-FBpp0300855","FBgn0036936-FBgn0033408-FBgn0263289","CG14185-CG8800-CG43398","CG14185-CG8800-scrib","1e-37-1e-05-5e-04",""
"8","gene10124",1,"gene10124","supercont1.221;supercont1.221","351924;352199","352139;353901","+;+",1919,"AAEL006793","EOG85MQX1-EOG85MQX1-EOG85MQX1","FBpp0088126-FBpp0082070-FBpp0088127","FBgn0015039-FBgn0038037-FBgn0015038","CG4486-CG11466-CG4485","Cyp9b2-Cyp9f2-Cyp9b1","","","","FBpp0082070-FBpp0088126-FBpp0086933-FBpp0088127-FBpp0072228-FBpp0311645-FBpp0087770-FBpp0086583-FBpp0308668","FBgn0038037-FBgn0015039-FBgn0033775-FBgn0015038-FBgn0015040-FBgn0033302-FBgn0033304-FBgn0033979-FBgn0025454","CG11466-CG4486-CG17577-CG4485-CG3616-CG8687-CG2397-CG10243-CG8453","Cyp9f2-Cyp9b2-Cyp9h1-Cyp9b1-Cyp9c1-Cyp6a14-Cyp6a13-Cyp6a19-Cyp6g1","4e-150-8e-129-3e-128-1e-121-5e-120-2e-92-5e-88-6e-84-1e-81",""
"9","gene10126",1,"gene10126","supercont1.221;supercont1.221","390698;390966","390907;392448","+;+",1693,"AAEL006811","EOG85MQX1-EOG85MQX1-EOG85MQX1","FBpp0082070-FBpp0088127-FBpp0088126","FBgn0038037-FBgn0015038-FBgn0015039","CG11466-CG4485-CG4486","Cyp9f2-Cyp9b1-Cyp9b2","","","","FBpp0082070-FBpp0072228-FBpp0086933-FBpp0088126-FBpp0088127-FBpp0311645-FBpp0084553-FBpp0087770","FBgn0038037-FBgn0015040-FBgn0033775-FBgn0015039-FBgn0015038-FBgn0033302-FBgn0039519-FBgn0033304","CG11466-CG3616-CG17577-CG4486-CG4485-CG8687-CG13977-CG2397","Cyp9f2-Cyp9c1-Cyp9h1-Cyp9b2-Cyp9b1-Cyp6a14-Cyp6a18-Cyp6a13","8e-147-3e-114-1e-112-7e-111-1e-106-1e-92-1e-87-7e-84",""
"10","gene10138",3,"gene10138","supercont1.221;supercont1.221;supercont1.221","1340663;1343801;1350425","1341211;1344077;1350978","-;-;-",1380,"AAEL006787","EOG8258K3","FBpp0078369","FBgn0037368","CG1239","CG1239","","","","FBpp0078369-FBpp0085336-FBpp0073194","FBgn0037368-FBgn0263144-FBgn0035537","CG1239-CG8276-CG11342","CG1239-bin3-CG11342","4e-57-1e-43-2e-12",""
"11","gene10144",1,"gene10144","supercont1.221;supercont1.221;supercont1.221","403766;403933;404224","403785;404163;405616","+;+;+",1644,"AAEL018030","EOG85MQX1-EOG85MQX1-EOG85MQX1","FBpp0088127-FBpp0088126-FBpp0082070","FBgn0015038-FBgn0015039-FBgn0038037","CG4485-CG4486-CG11466","Cyp9b1-Cyp9b2-Cyp9f2","","","","FBpp0082070-FBpp0088126-FBpp0088127-FBpp0086933-FBpp0072228-FBpp0085466-FBpp0311645-FBpp0087770-FBpp0308423","FBgn0038037-FBgn0015039-FBgn0015038-FBgn0033775-FBgn0015040-FBgn0000473-FBgn0033302-FBgn0033304-FBgn0039519","CG11466-CG4486-CG4485-CG17577-CG3616-CG9438-CG8687-CG2397-CG13977","Cyp9f2-Cyp9b2-Cyp9b1-Cyp9h1-Cyp9c1-Cyp6a2-Cyp6a14-Cyp6a13-Cyp6a18","4e-123-2e-113-9e-113-5e-106-9e-100-7e-86-3e-85-4e-83-1e-75",""
"12","gene10146",3,"gene10146","supercont1.265","1323170","1324500","+",1331,"AAEL007590",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0086089-FBpp0292990","FBgn0030521-FBgn0034709-FBgn0034229-FBgn0013770","CG10992-CG3074-CG4847-CG6692","CtsB1-Swim-CG4847-Cp1","2e-73-2e-33-3e-15-1e-14",""
"13","gene10159",3,"gene10159","supercont1.265","1279678","1280850","+",1173,"AAEL007599",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0292990-FBpp0086090","FBgn0030521-FBgn0034709-FBgn0013770-FBgn0034229","CG10992-CG3074-CG6692-CG4847","CtsB1-Swim-Cp1-CG4847","4e-93-4e-44-4e-22-7e-20",""
"14","gene10161",3,"gene10161","supercont1.265","1262510","1264618","-",2109,"AAEL007585",NA,NA,NA,NA,NA,"","","","FBpp0073669-FBpp0071697-FBpp0078464-FBpp0086089","FBgn0030521-FBgn0034709-FBgn0260462-FBgn0034229","CG10992-CG3074-CG12163-CG4847","CtsB1-Swim-CG12163-CG4847","5e-90-2e-44-4e-18-6e-18",""
"15","gene10189",3,"gene10189","supercont1.122;supercont1.122;supercont1.122;supercont1.122;supercont1.122;supercont1.122;supercont1.122","1784324;1784708;1785545;1790268;1804327;1813799;1838948","1784643;1785480;1785904;1790358;1804462;1814118;1839209","-;-;-;-;-;-;-",2262,"AAEL004532","EOG8SBHQ1-EOG8SBHQ1-EOG8SBHQ1","FBpp0080952-FBpp0080949-FBpp0080951","FBgn0051674-FBgn0032889-FBgn0051673","CG31674-CG9331-CG31673","CG31674-CG9331-CG31673","","","","FBpp0080946","FBgn0032889","CG9331","CG9331","3.00E-110",""
"16","gene10190",3,"gene10190","supercont1.122;supercont1.122;supercont1.122;supercont1.122","1774986;1775084;1775413;1776254","1774993;1775348;1776179;1777010","-;-;-;-",1797,"AAEL004529","EOG8SBHQ1-EOG8SBHQ1-EOG8SBHQ1","FBpp0080949-FBpp0080952-FBpp0080951","FBgn0032889-FBgn0051674-FBgn0051673","CG9331-CG31674-CG31673","CG9331-CG31674-CG31673","","","","FBpp0080946","FBgn0032889","CG9331","CG9331","4.00E-105",""
"17","gene10201",1,"gene10201","supercont1.617;supercont1.617;supercont1.617;supercont1.617;supercont1.617","689944;690012;695449;695708;696199","689948;690552;695651;696133;696706","+;+;+;+;+",1683,"AAEL011824","EOG8BGCMK-EOG8BGCMK","FBpp0297938-FBpp0074393","FBgn0025837-FBgn0030932","CG17636-CG6461","CG17636-Ggt-1","","","","FBpp0111834-FBpp0074393-FBpp0111907","FBgn0025837-FBgn0030932-FBgn0030796","CG17636-CG6461-CG4829","CG17636-Ggt-1-CG4829","3e-148-7e-144-4e-96",""
"18","gene10238",3,"gene10238","supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739;supercont1.739","167205;167850;168476;168915;174277;174573;187751","167769;168030;168851;171448;174500;176185;188032","-;-;-;-;-;-;-",5775,"AAEL012782",NA,NA,NA,NA,NA,"","","","FBpp0071174-FBpp0082184-FBpp0074401-FBpp0289348-FBpp0082173","FBgn0030051-FBgn0003450-FBgn0030925-FBgn0038114-FBgn0038113","CG2056-CG7996-CG6361-CG11670-CG11668","spirit-snk-Hayan-CG11670-CG11668","2e-18-1e-17-8e-17-6e-16-3e-11",""
"19","gene10242",3,"gene10242","supercont1.739;supercont1.739;supercont1.739;supercont1.739","150196;150320;150908;151162","150253;150849;151097;151254","+;+;+;+",871,"AAEL012777",NA,NA,NA,NA,NA,"","","","FBpp0074401-FBpp0289348-FBpp0082184-FBpp0071174","FBgn0030925-FBgn0038114-FBgn0003450-FBgn0030051","CG6361-CG11670-CG7996-CG2056","Hayan-CG11670-snk-spirit","1e-21-1e-20-3e-20-3e-14",""
"20","gene1029",2,"gene1029","supercont1.219;supercont1.219;supercont1.219","1258059;1258479;1267168","1258397;1259324;1268280","+;+;+",2298,"AAEL006752","EOG879HZZ","FBpp0303123","FBgn0036846","CG6818","MESR6","","","","FBpp0074793","FBgn0036846","CG6818","MESR6","5.00E-100",""
