"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene1","gene1","supercont1.442","522303","522869","+",567,"AAEL009972",NA,NA,NA,NA,NA,"","",""
"gene10","gene10","supercont1.442;supercont1.442;supercont1.442;supercont1.442;supercont1.442;supercont1.442;supercont1.442","932687;932935;939444;939642;940635;956307;956949","932877;933038;939584;940269;940752;956886;957738","-;-;-;-;-;-;-",2552,"AAEL009960","FBpp0084112","FBgn0045980","CG10951","niki","EOG890B1D","","",""
"gene100","gene100","supercont1.355;supercont1.355;supercont1.355;supercont1.355","580846;581248;581668;583027","581186;581610;581948;583454","-;-;-;-",1413,"AAEL008895","FBpp0111412","FBgn0085332","CG34303","CG34303","EOG80GGGH","","",""
"gene1000","gene1000","supercont1.219;supercont1.219","1294975;1295924","1295638;1296634","-;-",1375,"AAEL006735","FBpp0074799","FBgn0036850","CG10419","Gem2","EOG8GMXP7","","",""
"gene10000","gene10000","supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417","891615;891723;891882;901857;903998;904394;904512;905073;905533;905809;905982;906387","891666;891828;892193;902067;904298;904452;905007;905467;905730;905924;906326;906479","+;+;+;+;+;+;+;+;+;+;+;+",2684,"AAEL009664","FBpp0300518","FBgn0010548","CG11140","Aldh-III","EOG82RGZZ","","",""
"gene10001","gene10001","supercont1.417;supercont1.417","457302;457942","457873;458116","+;+",747,"AAEL017426",NA,NA,NA,NA,NA,"","",""
"gene10002","gene10002","supercont1.417;supercont1.417","371587;382674","371938;383862","-;-",1541,"AAEL009669","FBpp0077261","FBgn0031538","CG3246","CG3246","EOG8DJNN8","","",""
"gene10003","gene10003","supercont1.417;supercont1.417;supercont1.417","742527;749198;749836","742957;749783;750082","-;-;-",1264,"AAEL009667",NA,NA,NA,NA,NA,"","",""
"gene10004","gene10004","supercont1.417;supercont1.417;supercont1.417","946147;946524;947511","946462;946791;947702","+;+;+",776,"AAEL009670","FBpp0072529-FBpp0072526-FBpp0072527-FBpp0072525-FBpp0086336-FBpp0072530-FBpp0292257-FBpp0072533-FBpp0072524","FBgn0004429-FBgn0004428-FBgn0004430-NA-FBgn0034092-FBgn0004427-FBgn0050062-FBgn0004431-FBgn0004425","CG9116-CG1180-CG1165-NA-CG7798-CG9118-CG30062-CG9120-CG1179","LysP-LysE-LysS-NA-CG7798-LysD-CG30062-LysX-LysB","EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T-EOG8B8N5T","","",""
"gene10005","gene10005","supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417;supercont1.417","296640;305928;312430;315409;318330;328162;335216","298045;306128;313363;318271;319113;329210;335216","-;-;-;-;-;-;-",7238,"AAEL009668","FBpp0079885","FBgn0027505","CG7061","Rab3-GAP","EOG8SXR3P","","",""
"gene10006","gene10006","supercont1.421;supercont1.421","301562;305173","305102;305318","-;-",3687,"AAEL009725",NA,NA,NA,NA,NA,"","",""
"gene10007","gene10007","supercont1.421;supercont1.421;supercont1.421","9168;34189;37059","23144;36908;37332","-;-;-",16971,"AAEL009718","FBpp0077762","FBgn0031216","CG11376","Zir","EOG80CM74","","",""
"gene10008","gene10008","supercont1.421;supercont1.421","597392;598480","597957;598762","+;+",849,"AAEL009717",NA,NA,NA,NA,NA,"","",""
"gene10009","gene10009","supercont1.421;supercont1.421;supercont1.421;supercont1.421","181563;182307;186857;226075","182232;182404;187496;226166","-;-;-;-",1500,"AAEL009715",NA,NA,NA,NA,NA,"","",""
"gene1001","gene1001","supercont1.219","541539","543536","+",1998,"AAEL006751",NA,NA,NA,NA,NA,"","",""
"gene10010","gene10010","supercont1.421;supercont1.421","443337;445781","444169;446531","+;+",1584,"AAEL009726",NA,NA,NA,NA,NA,"","",""
"gene10011","gene10011","supercont1.421;supercont1.421;supercont1.421","801409;801591;802028","801458;801846;802282","-;-;-",561,"AAEL009729","FBpp0291562-FBpp0082127","FBgn0038087-FBgn0038084","CG10134-CG14390","beat-Va-beat-Vc","EOG8BP44Q-EOG8BP44Q","","",""
"gene10012","gene10012","supercont1.421;supercont1.421","111665;117906","111902;119141","+;+",1474,"AAEL009730",NA,NA,NA,NA,NA,"","",""
"gene10013","gene10013","supercont1.421;supercont1.421","287047;295415","287047;298314","+;+",2901,"AAEL009727",NA,NA,NA,NA,NA,"","",""
"gene10014","gene10014","supercont1.421;supercont1.421","321422;321687","321620;323248","+;+",1761,"AAEL009724",NA,NA,NA,NA,NA,"","",""
"gene10015","gene10015","supercont1.421;supercont1.421;supercont1.421;supercont1.421","73967;75634;83583;85521","74387;77792;83771;86113","-;-;-;-",3362,"AAEL009721","FBpp0070479","FBgn0024992","CG2658","CG2658","EOG81ZJ2B","","",""
"gene10016","gene10016","supercont1.421;supercont1.421;supercont1.421","866415;867183;868168","866776;867397;868352","-;-;-",762,"AAEL009716","FBpp0082152","FBgn0038092","CG31298","beat-Vb","EOG84N1J7","","",""
"gene10017","gene10017","supercont1.421;supercont1.421;supercont1.421","468976;469896;481389","469741;470080;481824","+;+;+",1387,"AAEL009722",NA,NA,NA,NA,NA,"","",""
"gene10018","gene10018","supercont1.421;supercont1.421","56520;57142","57104;57348","+;+",792,"AAEL009728",NA,NA,NA,NA,NA,"","",""
"gene10019","gene10019","supercont1.421;supercont1.421;supercont1.421;supercont1.421;supercont1.421;supercont1.421","333626;352685;353090;353541;372761;373408","333771;352888;353492;353657;373065;373729","+;+;+;+;+;+",1497,"AAEL009720",NA,NA,NA,NA,NA,"","",""
"gene1002","gene1002","supercont1.219;supercont1.219","566919;663148","567065;665598","+;+",2598,"AAEL006723","FBpp0076687","FBgn0035708","CG8398","CG8398","EOG8X6G19","","",""
"gene10020","gene10020","supercont1.421;supercont1.421;supercont1.421;supercont1.421;supercont1.421","235433;239003;239210;240279;240542","235474;239134;239397;240465;243528","+;+;+;+;+",3536,"AAEL009723",NA,NA,NA,NA,NA,"","",""
"gene10021","gene10021","supercont1.421;supercont1.421;supercont1.421;supercont1.421","385872;417475;417756;423040","386927;417690;419853;423621","-;-;-;-",3952,"AAEL009719","FBpp0289929","FBgn0039150","CG13605","CG13605","EOG8FN78G","","",""
"gene10022","gene10022","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","739366;739608;740045;746860;747218;747492","739535;739802;740213;747150;747434;747727","+;+;+;+;+;+",1278,"AAEL002133",NA,NA,NA,NA,NA,"","",""
"gene10023","gene10023","supercont1.49;supercont1.49;supercont1.49","2756325;2756844;2757167","2756777;2756979;2757884","+;+;+",1307,"AAEL002105",NA,NA,NA,NA,NA,"","",""
"gene10024","gene10024","supercont1.49;supercont1.49;supercont1.49","1052530;1053978;1054300","1053286;1054238;1054954","+;+;+",1673,"AAEL002134","FBpp0082937","FBgn0038545","CG7713","CG7713","EOG89CT1C","","",""
"gene10025","gene10025","supercont1.49;supercont1.49;supercont1.49","825906;830954;833874","828076;830971;833877","-;-;-",2193,"AAEL002093",NA,NA,NA,NA,NA,"","",""
"gene10026","gene10026","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2025747;2026315;2026557;2035249;2035626;2035878;2037447","2026254;2026492;2026671;2035556;2035798;2037386;2037655","-;-;-;-;-;-;-",3000,"AAEL002114",NA,NA,NA,NA,NA,"","",""
"gene10027","gene10027","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","757807;757979;758403;758662;758911;766310;774273;799608;805851","757918;758329;758593;758844;758988;766774;774511;800205;805972","-;-;-;-;-;-;-;-;-",2339,"AAEL002100",NA,NA,NA,NA,NA,"","",""
"gene10028","gene10028","supercont1.49;supercont1.49","2181422;2200545","2181959;2202600","+;+",2594,"AAEL002132",NA,NA,NA,NA,NA,"","",""
"gene10029","gene10029","supercont1.49;supercont1.49;supercont1.49","545182;565688;572474","545715;565850;573464","-;-;-",1688,"AAEL002106","FBpp0289882","FBgn0260398","CG42515","Pbp49","EOG8ZCWWF","","",""
"gene1003","gene1003","supercont1.219;supercont1.219;supercont1.219;supercont1.219","1246126;1246239;1247399;1247937","1246177;1247186;1247873;1248465","-;-;-;-",2004,"AAEL006732","FBpp0271859","FBgn0035099","CG6845","CG6845","EOG81K23Q","","",""
"gene10030","gene10030","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","616397;626979;639324;639850;640055","620443;628406;639780;639995;640770","+;+;+;+;+",6794,"AAEL002091","FBpp0081569","FBgn0037734","CG9448","trbd","EOG88D3KS","","",""
"gene10031","gene10031","supercont1.49;supercont1.49;supercont1.49","2715041;2730312;2730467","2715722;2730399;2732039","+;+;+",2343,"AAEL002119","FBpp0073068","FBgn0003206","CG1167","Ras64B","EOG8JWZ61","","",""
"gene10032","gene10032","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","599753;600301;602839;603315;605212","600165;600584;603011;603468;605519","+;+;+;+;+",1332,"AAEL002120",NA,NA,NA,NA,NA,"","",""
"gene10033","gene10033","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","314794;314994;315266;315488;326685","314919;315210;315429;315608;326808","+;+;+;+;+",752,"AAEL002109",NA,NA,NA,NA,NA,"","",""
"gene10034","gene10034","supercont1.49;supercont1.49;supercont1.49;supercont1.49","1129387;1155624;1171868;1172039","1130799;1156457;1171982;1172487","-;-;-;-",2811,"AAEL002115",NA,NA,NA,NA,NA,"","",""
"gene10035","gene10035","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2099057;2099177;2099409;2099717","2099113;2099316;2099643;2099731","-;-;-;-",447,"AAEL002110","FBpp0073109","FBgn0035511","CG15007","Cpr64Ab","EOG8MPMHB","","",""
"gene10036","gene10036","supercont1.49;supercont1.49;supercont1.49","1174914;1175217;1186041","1175146;1175340;1193992","+;+;+",8309,"AAEL002104",NA,NA,NA,NA,NA,"","",""
"gene10037","gene10037","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2638182;2638685;2648257;2648402;2648906;2660876","2638624;2638769;2648332;2648846;2649277;2660936","-;-;-;-;-;-",1482,"AAEL002124","FBpp0073071","FBgn0035501","CG1299","CG1299","EOG8XKXZC","","",""
"gene10038","gene10038","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2877532;2877594;2877720;2877877;2878547;2879073;2879890;2886635;2891639;2891916","2877539;2877665;2877764;2877931;2879008;2879831;2880044;2887635;2891857;2892998","+;+;+;+;+;+;+;+;+;+",3859,"AAEL002098","FBpp0070624","FBgn0002707","CG3697","mei-9","EOG81K23H","","",""
"gene10039","gene10039","supercont1.49","2763468","2765436","-",1969,"AAEL002113","FBpp0078358","FBgn0037356","CG12170","CG12170","EOG85QM59","","",""
"gene1004","gene1004","supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219","214310;223433;233623;237087;237308;237517;239190;240326;244524;251599;251807;262566;275587","214673;226451;234180;237241;237455;239132;239680;240566;246607;251739;255370;263355;276235","-;-;-;-;-;-;-;-;-;-;-;-;-",13820,"AAEL006721","FBpp0111773","FBgn0010352","CG11661","Nc73EF","EOG8CZF63","","",""
"gene10040","gene10040","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2407771;2408251;2409551;2410673;2426796","2408192;2409034;2409822;2410924;2427825","-;-;-;-;-",2760,"AAEL002102","FBpp0073073","FBgn0261274","CG1333","Ero1L","EOG8Z0DX9","","",""
"gene10041","gene10041","supercont1.49;supercont1.49;supercont1.49","2158496;2159316;2159679","2159100;2159465;2159690","-;-;-",767,"AAEL002095",NA,NA,NA,NA,NA,"","",""
"gene10042","gene10042","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","1798807;1799648;1800055;1809670;1810029;1810273;1810542;1825816;1826077","1799585;1799992;1800200;1809970;1810215;1810482;1810967;1825921;1826834","-;-;-;-;-;-;-;-;-",3258,"AAEL002107","FBpp0073081","FBgn0035515","CG14997","CG14997","EOG87SW57","","",""
"gene10043","gene10043","supercont1.49;supercont1.49;supercont1.49","2768249;2769417;2769725","2769348;2769660;2770063","+;+;+",1683,"AAEL002108","FBpp0070646","FBgn0029714","CG3527","CG3527","EOG805VSH","","",""
